blocking_key,block_size,sample_names
AMYRIS,12,"AMYRIS INC, AMYRIS CLEAN BEAUTY INC, AMYRIS FUELS LLC"
CHEMICAL,12,"CHEMICAL TECHNOLOGIES INDIA LTD A DELAWARE CORP, CHEMICAL TECHNOLOGIES INDIA LTD, CHEMICAL TECHNOLOGIES INDIA LTD A DELAWARE CORP"
INTERGRAPH,12,"INTERGRAPH CORP, INTERGRAPH ITALIA LLC, INTERGRAPH ASIA PACIFIC INC"
ASTEC,12,"ASTEC INDUSTRIES INC, ASTEC INC, ASTEC MOBILE SCREENS INC"
PINNACLE,12,"PINNACLE SYSTEMS INC, PINNACLE FOODS BRANDS CORP, PINNACLE FOODS GROUP INC"
FLEET,12,"FLEET CAPITAL CORP, FLEET NATIONAL BANK AS SECRETARY TRUSTEE, FLEET BANK OF MASSACHUSETTS NA"
ATLAS,12,"ATLAS AGI HOLDINGS LLC, ATLAS ENGINEERING INC, ATLAS ROOFING CORP"
INEOS,12,"INEOS USA LLC, INEOS CALABRIAN CORP, INEOS COMPOSITES IP LLC"
THORATEC,12,"THORATEC LABORATORIES CORP A CORP OF CA, THORATEC LABORATORIES CORP A CA CORP, THORATEC LABORATORIES INC"
HOME,12,"HOME DECOR HOLDING CO, HOME DECOR CO, HOME PRODUCTS INTERNATIONAL - NORTH AMERICA INC"
CPI,12,"CPI MALIBU DIVISION, CPI RADIANT TECHNOLOGIES DIVISION INC, CPI RADANT TECHNOLOGIES DIVISION INC"
ELECTRONIC,12,"ELECTRONIC INTERCONNECT SYSTEMS INC MA CORP, ELECTRONIC RETAILING SYSTEMS INTERNATIONAL INC A CORP OF CONNECTICUT, ELECTRONIC SOLUTIONS"
ORECK,12,"ORECK HOLDINGS LLC, ORECK CORP, ORECK HOME LLC"
DELL,11,"DELL PRODUCTS LP, DELL MARKETING LP, DELL USA LP"
BRUNSWICK,11,"BRUNSWICK CORP, BRUNSWICK LEISURE BOAT CO LLC, BRUNSWICK BOWLING & BILLIARDS CORP"
MORGAN,11,"MORGAN STANLEY SENIOR FUNDING INC, MORGAN STANLEY & CO INC, MORGAN STANLEY SENIOR FUNDING INC AS THE EXISTING AGENT"
AIRBORNE,11,"AIRBORNE SYSTEMS NORTH AMERICA OF NJ INC, AIRBORNE HOLDINGS INC, AIRBORNE SYSTEMS NA INC"
SMART,11,"SMART MODULAR TECHNOLOGIES INC, SMART EMBEDDED COMPUTING INC, SMART HIGH RELIABILITY SOLUTIONS LLC"
BLUEGRASS,11,"BLUEGRASS LABELS CO LLC, BLUEGRASS CONTAINER CANADA HOLDINGS LLC, BLUEGRASS CONTAINER CO LLC"
REMY,11,"REMY TECHNOLOGIES LLC, REMY POWER PRODUCTS LLC, REMY INTERNATIONAL INC"
STRYKER,11,"STRYKER CORP, STRYKER FAR EAST INC, STRYKER IMPLANTS INC"
FORT,11,"FORT JAMES CAMAS LLC, FORT JAMES CORP, FORT JAMES GREEN BAY LLC"
W,11,"W R GRACE & CO -CONN, W R GRACE & CO -CONN, W S PACKAGING GROUP INC"
CROWN,11,"CROWN CORK & SEAL TECHNOLOGIES CORP, CROWN PACKAGING TECHNOLOGY INC, CROWN TECHNOLOGIES PACKAGING CORP"
EAGLEPICHER,11,"EAGLEPICHER TECHNOLOGIES LLC, EAGLEPICHER MEDICAL POWER LLC, EAGLEPICHER CORP"
DURA,11,"DURA OPERATING CORP, DURA GLOBAL TECHNOLOGIES INC, DURA AUTOMOTIVE SYSTEMS INC"
CAMBRIDGE,11,"CAMBRIDGE TECHNOLOGY INC, CAMBRIDGE HEART INC, CAMBRIDGE ACQUISITION CORP"
ROYAL,11,"ROYAL ADHESIVES & SEALANTS LLC, ROYAL APPLIANCE MFG CO, ROYAL APPLIANCE MFG CO"
INTERMEDICS,11,"INTERMEDICS CARDIASSIST INC, INTERMEDICS INC, INTERMEDICS INTRAOCULAR INC"
LZB,11,"LZB CAROLINA PROPERTIES INC, LZB DELAWARE VALLEY INC, LZB DELAWARE VALLEY PROPERTIES INC"
REYNOLDS,11,"REYNOLDS FOIL INC, REYNOLDS CONSUMER PRODUCTS INC, REYNOLDS CONSUMER PRODUCTS LLC"
OMG,11,"OMG AMERICAS INC, OMG INC F K A OLYMPIC MANUFACTURING GROUP INC, OMG ELECTRONIC CHEMICALS LLC"
JOY,11,"JOY TECHNOLOGIES INC, JOY MM DELAWARE INC A CORP OF DE, JOY TECHNOLOGIES INC A CORP OF DE"
ACM,11,"ACM BLOCK & BRICK GENERAL INC, ACM BLOCK & BRICK PARTNER LLC, ACM BLOCK & BRICK PARTNER LLC"
AIR,11,"AIR SPRINGS CANADA HOLDCO LLC, AIR SPRINGS MEXICO HOLDCO LLC, AIR METHODS CORP"
ELECTRIC,11,"ELECTRIC COATING TECHNOLOGIES LLC, ELECTRIC FUEL BV, ELECTRIC FUEL CORP"
CUSTOM,11,"CUSTOM SENSORS & TECHNOLOGIES INC, CUSTOM SENSORS & TECHNOLOGIES INC, CUSTOM FAB INC"
VERTELLUS,11,"VERTELLUS PERFORMANCE CHEMICALS LLC, VERTELLUS SBH HOLDINGS LLC, VERTELLUS PERFORMANCE MATERIALS INC"
NORTHWEST,11,"NORTHWEST PROPERTIES LLC, NORTHWEST PROPERTIES LLC, NORTHWEST STONE & BRICK CO INC"
ANCHOR,11,"ANCHOR INTELLIGENCE INC, ANCHOR COSMETICS CO, ANCHOR HOCKING LLC"
IMCO,11,"IMCO ACQUISITION INC, IMCO ENERGY CORP, IMCO INDIANA PARTNERSHIP LP BY IMCO ENERGY CORP ITS GENERAL PARTNER"
PRGSCHULTZ,11,"PRG-SCHULTZ AUSTRALIA INC, PRG-SCHULTZ BELGIUM INC, PRG-SCHULTZ BRASIL LLC"
AVAYA,10,"AVAYA INC, AVAYA MANAGEMENT LP, AVAYA INC"
TENNECO,10,"TENNECO AUTOMOTIVE OPERATING CO INC, TENNECO INC, TENNECO AUTOMOTIVE INC"
