component_id,entity_id,standard_name,normalized_name,original_name,frequency,avg_similarity,min_similarity,issues,decision,notes
496,non_financial_496,ENCORE MEDICAL GP INC,ENCORE MEDICAL IHC INC,"ENCORE MEDICAL IHC, INC.",43,88.37209302325581,88.37209302325581,['Similitud promedio baja: 88.4%'],,
538,non_financial_538,MCKECHNIE AEROSPACE DE INC,MCKECHNIE AEROSPACE DE INC,"MCKECHNIE AEROSPACE DE, INC.",303,89.18367346938776,89.18367346938776,['Similitud promedio baja: 89.2%'],,
538,non_financial_538,MCKECHNIE AEROSPACE DE INC,MCKECHNIE AEROSPACE HOLDINGS INC,"MCKECHNIE AEROSPACE HOLDINGS, INC.",303,89.18367346938776,89.18367346938776,['Similitud promedio baja: 89.2%'],,
554,non_financial_554,STONERIDGE ELECTRONICS INC,STONERIDGE ELECTRONICS LTD,STONERIDGE ELECTRONICS LIMITED,45,88.46153846153845,88.46153846153845,['Similitud promedio baja: 88.5%'],,
554,non_financial_554,STONERIDGE ELECTRONICS INC,STONERIDGE ELECTRONICS INC,"STONERIDGE ELECTRONICS, INC.",228,88.46153846153845,88.46153846153845,['Similitud promedio baja: 88.5%'],,
567,non_financial_567,INTERGRAPH HARDWARE TECHNOLOGIES CO,INTERGRAPH HARDWARE TECHNOLOGIES CO,INTERGRAPH HARDWARE TECHNOLOGIES COMPANY,136,88.57142857142857,88.57142857142857,['Similitud promedio baja: 88.6%'],,
567,non_financial_567,INTERGRAPH HARDWARE TECHNOLOGIES CO,INTERGRAPH SOFTWARE TECHNOLOGIES CO,INTERGRAPH SOFTWARE TECHNOLOGIES COMPANY,136,88.57142857142857,88.57142857142857,['Similitud promedio baja: 88.6%'],,
571,non_financial_571,ARTESYN COMMUNICATION PRODUCTS LLC,ARTESYN TECHNOLOGIES COMMUNICATION PRODUCTS INC,"ARTESYN TECHNOLOGIES COMMUNICATION PRODUCTS, INC.",22,89.0625,89.0625,['Similitud promedio baja: 89.1%'],,
571,non_financial_571,ARTESYN COMMUNICATION PRODUCTS LLC,ARTESYN COMMUNICATION PRODUCTS LLC,ARTESYN COMMUNICATION PRODUCTS LLC,22,89.0625,89.0625,['Similitud promedio baja: 89.1%'],,
586,non_financial_586,WABASH NATIONAL LP,WABASH NATIONAL LP,"WABASH NATIONAL, L.P.",252,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
586,non_financial_586,WABASH NATIONAL LP,WABASH NATIONAL CORP,WABASH NATIONAL CORPORATION,118,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
600,non_financial_600,AURORA FOODS INC DELAWARE CORP,AURORA FOODS INC,AURORA FOODS INC.,3,89.62962962962963,88.88888888888889,['Similitud promedio baja: 89.6%'],,
600,non_financial_600,AURORA FOODS INC DELAWARE CORP,AURORA FOODS INC DELAWARE CORP,AURORA FOODS INC. (DELAWARE CORPORATION),29,89.62962962962963,88.88888888888889,['Similitud promedio baja: 89.6%'],,
600,non_financial_600,AURORA FOODS INC DELAWARE CORP,AURORA FOODS INC DE CORP,"AURORA FOODS, INC. (DE CORPORATION)",4,89.62962962962963,88.88888888888889,['Similitud promedio baja: 89.6%'],,
638,non_financial_638,NOVA WILDCAT BUILDING LLC,NOVA WILDCAT BUILDING LLC,"NOVA WILDCAT BUILDING, LLC",87,89.79591836734694,89.79591836734694,['Similitud promedio baja: 89.8%'],,
638,non_financial_638,NOVA WILDCAT BUILDING LLC,NOVA WILDCAT BULLDOG LLC,"NOVA WILDCAT BULLDOG, LLC",87,89.79591836734694,89.79591836734694,['Similitud promedio baja: 89.8%'],,
673,non_financial_673,CARLISLE FLUID TECHNOLOGIES UK LTD,CARLISLE FLUID TECHNOLOGIES LLC,"CARLISLE FLUID TECHNOLOGIES, LLC",168,89.23076923076923,89.23076923076923,['Similitud promedio baja: 89.2%'],,
673,non_financial_673,CARLISLE FLUID TECHNOLOGIES UK LTD,CARLISLE FLUID TECHNOLOGIES UK LTD,CARLISLE FLUID TECHNOLOGIES UK LIMITED,168,89.23076923076923,89.23076923076923,['Similitud promedio baja: 89.2%'],,
691,non_financial_691,CONTROL DATA ASIA INC,CONTROL DATA ASIA INC,"CONTROL DATA ASIA, INC.",16,89.21775898520086,88.37209302325581,['Similitud promedio baja: 89.2%'],,
691,non_financial_691,CONTROL DATA ASIA INC,CONTROL DATA CHINA INC,"CONTROL DATA CHINA, INC.",16,89.21775898520086,88.37209302325581,['Similitud promedio baja: 89.2%'],,
691,non_financial_691,CONTROL DATA ASIA INC,CONTROL DATA INDIA INC,"CONTROL DATA INDIA, INC.",16,89.21775898520086,88.37209302325581,['Similitud promedio baja: 89.2%'],,
697,non_financial_697,PINNACLE GIBRALTAR ACQUISITION CO LTD,PINNACLE GIBRALTAR ACQUISITION CO LTD,PINNACLE (GIBRALTAR) ACQUISITION CO LIMITED,5,89.99999999999999,89.99999999999999,['Similitud promedio baja: 90.0%'],,
697,non_financial_697,PINNACLE GIBRALTAR ACQUISITION CO LTD,PINNACLE US ACQUISITION CO LTD,PINNACLE (US) ACQUISITION CO LIMITED,5,89.99999999999999,89.99999999999999,['Similitud promedio baja: 90.0%'],,
710,non_financial_710,I O MARINE SYSTEMS INC,I D SYSTEMS INC,"I.D. SYSTEMS, INC.",22,88.21428571428571,88.21428571428571,['Similitud promedio baja: 88.2%'],,
710,non_financial_710,I O MARINE SYSTEMS INC,I O MARINE SYSTEMS INC,"I/O MARINE SYSTEMS, INC.",157,88.21428571428571,88.21428571428571,['Similitud promedio baja: 88.2%'],,
714,non_financial_714,TI GROUP AUTOMOTIVE SYSTEMS LLC,TI GROUP AUTOMOTIVE SYSTEMS LLC,"TI GROUP AUTOMOTIVE SYSTEMS, L.L.C.",156,88.44827586206895,88.44827586206895,['Similitud promedio baja: 88.4%'],,
714,non_financial_714,TI GROUP AUTOMOTIVE SYSTEMS LLC,TI GROUP AUTOMOTIVE SYSTEMS S DE R L DE C V,TI GROUP AUTOMOTIVE SYSTEMS S DE R.L. DE C.V.,25,88.44827586206895,88.44827586206895,['Similitud promedio baja: 88.4%'],,
