ee_name,freq,entity_id,standard_name
"ANTARES CAPITAL LP, AS AGENT",1008,financial_55,ANTARES CAPITAL
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT",995,financial_231,CHASE MANHATTAN BANK
"LASALLE BUSINESS CREDIT, INC., AS COLLATERAL AGENT",988,financial_637,LASALLE BUSINESS CREDIT
TELECOM HOLDING PARENT LLC,984,financial_2273,TELECOM HOLDING PARENT LLC
"THE BANK OF NEW YORK MELLON, AS ADMINISTRATIVE AGENT",983,financial_102,BANK OF NEW YORK MELLON
"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",980,financial_605,JP MORGAN CHASE BANK NA
"GLAS TRUST CORPORATION LIMITED, AS COLLATERAL AGENT",978,financial_491,GLAS RP
CHEMICAL BANK,977,financial_234,CHEMICAL BANK
LIGHTSHIP CAPITAL LLC,973,financial_4687,LIGHTSHIP CAPITAL LLC
"CREDIT SUISSE, AS COLLATERAL AGENT",972,financial_309,CREDIT SUISSE
"UMB BANK, N.A., AS COLLATERAL AGENT",956,financial_1063,UMB BANK NA
"CITICORP NORTH AMERICA, INC., AS COLLATERAL AGENT",955,financial_5518,CITICORP NORTH AMERICA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",944,financial_1103,WELLS FARGO BANK NA
ARES CAPITAL CORPORATION,941,financial_68,ARES CAPITAL CORP
"CIT GROUP/BUSINESS CREDIT, INC., THE",939,financial_244,CIT GROUP BUSINESS CREDIT
"SILVER POINT FINANCE, LLC",930,financial_951,SILVER POINT FINANCE LLC
"CHASE MANHATTAN BANK, AS COLLATERAL AGENT, THE",926,financial_231,CHASE MANHATTAN BANK
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. AS COLLATERAL AGENT",909,financial_102,BANK OF NEW YORK MELLON
"FLEET CAPITAL CORPORATION, AS AGENT",907,financial_442,FLEET CAPITAL CORP
MIDCAP FUNDING IV TRUST,890,financial_715,MIDCAP FINANCIAL
"CITIBANK., N.A., AS ADMINISTRATIVE AGENT",888,financial_251,CITIBANK NA
"CHASE MANHATTAN BANK, AS ADMINISTRATIVE AGENT, THE",885,financial_231,CHASE MANHATTAN BANK
"LEHMAN COMMERCIAL PAPER INC., AS ADMINISTRATIVE AGENT",880,financial_644,LEHMAN COMMERCIAL PAPER
"MORGAN STANLEY & CO., INCORPORATED",869,financial_731,MORGAN STANLEY SENIOR FUNDING
BIOPHARMA CREDIT PLC,865,financial_146,BIOPHARMA CREDIT
"CITICORP NORTH AMERICA, INC., AS ""AGENT""",865,financial_5518,CITICORP NORTH AMERICA
"BOKF, NA, AS SUCCESSOR COLLATERAL AGENT",862,financial_158,BOKF NA
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",856,financial_1091,WACHOVIA BANK NA
SUNTRUST BANK,846,financial_1008,SUNTRUST BANK
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,832,financial_730,MORGAN GUARANTY OF NEW YORK & MORGAN BANK DELAWARE S SEE RECORD FOR THE REMAINING ASSIGNEES
TRUIST BANK,831,financial_1053,TRUIST BANK
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS COLLATERAL TRUSTEE",819,financial_1111,WILMINGTON NA
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",805,financial_309,CREDIT SUISSE
"CITIBANK, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",803,financial_251,CITIBANK NA
"WILMINGTON TRUST, NATIONAL ASSOCIATION, - AS NOTES COLLATERAL AGENT",801,financial_1111,WILMINGTON NA
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",789,financial_1091,WACHOVIA BANK NA
"ABLECO FINANCE LLC, AS AGENT",788,financial_5,ABLECO FINANCE LLC
"MORGAN STANLEY SENIOR FUNDING, INC., AS ADMINISTRATIVE AGENT",769,financial_731,MORGAN STANLEY SENIOR FUNDING
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECOND LIEN ADMINISTRATIVE AGENT",768,financial_350,DEUTSCHE BANK
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS CO-COLLATERAL TRUSTEE, SUCCESSOR COLLATERAL TRUSTEE",758,financial_1111,WILMINGTON NA
BARCLAYS BANK PLC AS ADMINISTRATIVE AGENT,743,financial_126,BARCLAYS BANK
MACQUARIE CAF LLC,735,financial_4754,MACQUARIE CAF LLC
"BANK OF AMERICA, N.A., AS COLLATERAL TRUSTEE",729,financial_43,BANK OF AMERICA NA
"MACQUARIE CAPITAL FUNDING LLC, AS COLLATERAL AGENT",723,financial_659,MACQUARIE CAPITAL FUNDING LLC
"CONEXANT SYSTEMS, INC.",722,financial_283,CONEXANT SYSTEMS
KEYBANK NATIONAL ASSOCIATION,721,financial_613,KEYBANK NA
ABLECO FINANCE LLC,711,financial_5,ABLECO FINANCE LLC
"SUNTRUST BANK, AS ADMINISTRATIVE AGENT",708,financial_1008,SUNTRUST BANK
FGI WORLDWIDE LLC,697,financial_406,FGI WORLDWIDE LLC
"U.S. BANK NATIONAL ASSOCIATION, AS AGENT",665,financial_3,US BANK NA
GOLDMAN SACHS CREDIT PARTNERS L.P.,662,financial_501,GOLDMAN SACHS BANK USA
"CITICORP USA, INC. (AS ADMINISTRATIVE AGENT)",660,financial_5518,CITICORP NORTH AMERICA
"CREDIT SUISSE, AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",652,financial_309,CREDIT SUISSE
