or_name,freq
TOPGOLF CALLAWAY BRANDS CORP.,806
TOPGOLF CALLAWAY BRANDS CORP. (FORMERLY CALLAWAY GOLF COMPANY),806
"METROLOGIC INSTRUMENTS, INC.",805
CHAMPION AEROSPACE LLC,804
TECUMSEH PRODUCTS COMPANY,802
"ALPHATEC SPINE, INC.",800
VERTEX PHARMACEUTICALS (SAN DIEGO) LLC,799
VERTEX PHARMACEUTICALS INCORPORATED,799
"MEMC INTERNATIONAL, INC.",798
"MEMC PASADENA, INC.",798
MEMC SOUTHWEST INC.,798
"PLASMASIL, L.L.C.",798
"SIBOND, L.L.C.",798
"ACME AEROSPACE, INC.",794
"APPLIED BIOSYSTEMS, LLC",794
"BEBO, INC.",794
"GOING, INC.",794
ICQ LLC,794
LIGHTNINGCAST LLC,794
NETSCAPE COMMUNICATIONS CORPORATION,794
QUIGO TECHNOLOGIES LLC,794
"SPHERE SOURCE, INC.",794
TACODA LLC,794
"TRUVEO, INC.",794
"YEDDA, INC.",794
"INNOVATIVE WATER CARE, LLC",793
MOMENTIVE PERFORMANCE MATERIALS GMBH & CO. KG,790
MOMENTIVE PERFORMANCE MATERIALS HOLDINGS INC.,790
MOMENTIVE PERFORMANCE MATERIALS JAPAN HOLDINGS GK,790
"4HOME, INC.",780
"ACADIA AIC, INC.",780
"AEROCAST, INC.",780
ARRIS HOLDINGS CORP. OF ILLINOIS,780
"ARRIS KOREA, INC.",780
"BIGBAND NETWORKS, INC.",780
"BROADBUS TECHNOLOGIES, INC.",780
CCE SOFTWARE LLC,780
"GENERAL INSTRUMENT AUTHORIZATION SERVICES, INC.",780
GENERAL INSTRUMENT CORPORATION,780
"GENERAL INSTRUMENT INTERNATIONAL HOLDINGS, INC.",780
IMEDIA CORPORATION,780
"LEAPSTONE SYSTEMS, INC.",780
"MODULUS VIDEO, INC.",780
"MOTOROLA WIRELINE NETWORKS, INC.",780
"NETOPIA, INC.",780
"QUANTUM BRIDGE COMMUNICATIONS, INC.",780
"SETJAM, INC.",780
"SUNUP DESIGN SYSTEMS, INC.",780
THE GI REALTY TRUST 1996,780
"UCENTRIC SYSTEMS, INC.",780
"BROCADE COMMUNICATIONS SYSTEMS, INC.",779
INRANGE TECHNOLOGIES CORPORATION,779
MCDATA CORPORATION,779
"SERENA SOFTWARE, INC.",779
GRAPHIC PACKAGING CORPORATION,776
"ENTEGRIS GP, INC.",774
